step,time,control,f1_palm,f2_palm,f1_tip,f2_tip,t1_length,t2_length,palm_diff,tip_diff,tendon_diff,contacts
670,0.67,1.0,-94.23856677350943,-93.33835920666534,-1.3275288592515773e-05,-0.0003115331014166004,0.16296555171429855,0.162947990370075,0.9002075668440881,0.00029825781282408464,1.7561344223537834e-05,0
680,0.68,1.0,-94.23856316997518,-93.33835516220284,-1.1162406442098313e-05,-0.0002777354065325024,0.1629655516472307,0.16294799028558293,0.9002080077723349,0.0002665730000904041,1.756136164776656e-05,0
690,0.6900000000000001,1.0,-94.2385599961384,-93.3383515862529,-9.385510803972209e-06,-0.00024760475298650654,0.1629655515881635,0.1629479902108798,0.9002084098855079,0.00023821924218253433,1.756137728370355e-05,0
700,0.7000000000000001,1.0,-94.23855719920816,-93.33834842324222,-7.891224311209368e-06,-0.00022074324884472932,0.16296555153611364,0.16294799014480432,0.9002087759659361,0.00021285202453351996,1.7561391309317553e-05,0
710,0.71,1.0,-94.23855473310105,-93.33834562438142,-6.634643971252774e-06,-0.00019679617810163647,0.1629655514902227,0.162947990086337,0.9002091087196362,0.0001901615341303837,1.756140388570193e-05,0
720,0.72,1.0,-94.23855255756091,-93.33834314681093,-5.577996410186068e-06,-0.00017544731524584976,0.16296555144974081,0.16294799003458232,0.9002094107499801,0.0001698693188356637,1.756141515849019e-05,0
730,0.73,1.0,-94.23855063739579,-93.33834095285745,-4.6895064345125955e-06,-0.00015641474830326623,0.16296555141401264,0.16294798998875307,0.9002096845383392,0.00015172524186875364,1.7561425259576824e-05,0
740,0.74,1.0,-94.23854894181756,-93.3383390093862,-3.942445004810303e-06,-0.00013944715523504802,0.16296555138246477,0.16294798994815687,0.900209932431352,0.0001355047102302377,1.7561434307894475e-05,0
750,0.75,1.0,-94.23854744387118,-93.3383372872356,-3.314328300726897e-06,-0.0001243204843792922,0.1629655513545953,0.16294798991218437,0.9002101566355805,0.00012100615607856531,1.7561442410940487e-05,0
760,0.76,1.0,-94.23854611993929,-93.33833576072614,-2.7862438508242644e-06,-0.00011083499518660834,0.16296555132996446,0.16294798988029907,0.9002103592131476,0.00010804875133578407,1.756144966538753e-05,0
770,0.77,1.0,-94.23854494931408,-93.33833440723116,-2.3422835672463593e-06,-9.88126201202553e-05,0.16296555130818666,0.16294798985202819,0.9002105420829167,9.647033655300895e-05,1.7561456158471378e-05,0
780,0.78,1.0,-94.23854391382619,-93.33833320680259,-1.969066778629393e-06,-8.809461282383526e-05,0.16296555128892365,0.16294798982695485,0.9002107070236036,8.612554604520587e-05,1.7561461968795822e-05,0
790,0.79,1.0,-94.23854299752229,-93.33833214184453,-1.6553389512798618e-06,-7.853945154512101e-05,0.16296555127187842,0.16294798980471148,0.9002108556777557,7.688411259384114e-05,1.756146716694329e-05,0
800,0.8,1.0,-94.23854218638547,-93.33833119682797,-1.3916340600409583e-06,-7.002097008936218e-05,0.16296555125679013,0.16294798978497363,0.9002109895575074,6.862933602932121e-05,1.7561471816501806e-05,0
810,0.81,1.0,-94.2385414680927,-93.33833035804082,-1.1699906068086971e-06,-6.242669156311072e-05,0.16296555124342926,0.1629479897674548,0.9002111100518846,6.125670095630202e-05,1.7561475974453566e-05,0
820,0.8200000000000001,1.0,-94.2385408318027,-93.3383296133703,-9.83712653911087e-07,-5.565634299682048e-05,0.16296555123159412,0.16294798975190194,0.9002112184323892,5.467263034290939e-05,1.7561479692174142e-05,0
830,0.8300000000000001,1.0,-94.2385402679727,-93.33832895211091,-8.271688298867206e-07,-4.9620531107230646e-05,0.1629655512211071,0.1629479897380914,0.9002113158617817,4.8793362277343926e-05,1.7561483015682278e-05,0
840,0.84,1.0,-94.23853976819774,-93.3383283647974,-6.956232308944005e-07,-4.4239561779314604e-05,0.16296555121181178,0.16294798972582542,0.9002114034003341,4.35439385484202e-05,1.7561485986361536e-05,0
850,0.85,1.0,-94.23853932507106,-93.33832784305746,-5.850931377632688e-07,-3.944238768277931e-05,0.16296555120357023,0.1629479897149291,0.9002114820136029,3.885729454501604e-05,1.7561488641126832e-05,0
860,0.86,1.0,-94.23853893206197,-93.33832737948255,-4.922293854629438e-07,-3.5165670008403664e-05,0.16296555119626102,0.16294798970524765,0.900211552579421,3.467344062294072e-05,1.7561491013368125e-05,0
870,0.87,1.0,-94.23853858340912,-93.33832696751503,-4.1421566152353894e-07,-3.1352942104040194e-05,0.16296555118977696,0.16294798969664412,0.9002116158940936,3.0938726442516656e-05,1.756149313283939e-05,0
880,0.88,1.0,-94.23853827402792,-93.33832660134748,-3.4868381941004447e-07,-2.7953863826991533e-05,0.16296555118402337,0.16294798968899715,0.9002116726804417,2.760518000758149e-05,1.7561495026213736e-05,0
890,0.89,1.0,-94.23853799942859,-93.33832627583564,-2.9364266084904247e-07,-2.4923556788714918e-05,0.16296555117891673,0.16294798968219934,0.9002117235929461,2.4629914127865876e-05,1.7561496717388714e-05,0
900,0.9,1.0,-94.23853775564473,-93.33832598642118,-2.474180264489541e-07,-2.2222011723732162e-05,0.16296555117438327,0.16294798967615542,0.9002117692235458,2.1974593697283206e-05,1.756149822784714e-05,0
